IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.154.174.118,443,443,true,FRA,Europe,Frankfurt,266,3.82
34.116.211.3,443,443,true,FRA,Europe,Frankfurt,314,3.81
34.154.229.4,443,443,true,FRA,Europe,Frankfurt,194,3.78
34.91.27.34,443,443,true,FRA,Europe,Frankfurt,266,3.74
34.118.8.36,443,443,true,FRA,Europe,Frankfurt,255,3.74
34.91.217.239,443,443,true,FRA,Europe,Frankfurt,275,3.73
34.116.129.250,443,443,true,FRA,Europe,Frankfurt,266,3.73
34.32.145.60,443,443,true,FRA,Europe,Frankfurt,290,3.73
34.91.217.239,443,443,true,FRA,Europe,Frankfurt,211,3.73
34.116.149.43,443,443,true,FRA,Europe,Frankfurt,268,3.71
34.147.114.254,443,443,true,FRA,Europe,Frankfurt,285,3.69
34.91.66.231,443,443,true,FRA,Europe,Frankfurt,196,3.67
34.116.137.3,443,443,true,FRA,Europe,Frankfurt,241,3.67
34.116.128.120,443,443,true,FRA,Europe,Frankfurt,294,3.65
34.116.189.137,443,443,true,FRA,Europe,Frankfurt,246,3.63
34.118.127.239,443,443,true,FRA,Europe,Frankfurt,221,3.62
34.116.190.191,443,443,true,FRA,Europe,Frankfurt,287,3.57
34.154.158.134,443,443,true,FRA,Europe,Frankfurt,191,3.57
34.154.10.29,443,443,true,FRA,Europe,Frankfurt,251,3.54
34.154.150.141,443,443,true,FRA,Europe,Frankfurt,219,3.53
34.65.203.70,443,443,true,FRA,Europe,Frankfurt,272,3.45
34.118.17.210,443,443,true,FRA,Europe,Frankfurt,225,3.38
34.89.151.141,443,443,true,FRA,Europe,Frankfurt,185,3.32
34.118.23.155,443,443,true,FRA,Europe,Frankfurt,308,3.25
34.116.184.196,443,443,true,FRA,Europe,Frankfurt,279,3.24
34.118.36.21,443,443,true,FRA,Europe,Frankfurt,303,3.19
34.154.176.199,443,443,true,FRA,Europe,Frankfurt,249,3.10
34.118.46.204,443,443,true,FRA,Europe,Frankfurt,330,3.08
34.118.105.92,443,443,true,FRA,Europe,Frankfurt,240,3.08
34.65.153.152,443,443,true,FRA,Europe,Frankfurt,256,3.07
34.105.140.105,443,443,true,LHR,Europe,London,201,3.06
34.118.105.92,443,443,true,FRA,Europe,Frankfurt,254,2.98
34.154.158.199,443,443,true,FRA,Europe,Frankfurt,260,2.85
34.154.185.228,443,443,true,FRA,Europe,Frankfurt,261,2.84
34.154.206.51,443,443,true,FRA,Europe,Frankfurt,251,2.83
34.154.152.98,443,443,true,FRA,Europe,Frankfurt,186,2.72
34.147.46.136,443,443,true,AMS,Europe,Amsterdam,319,2.71
34.154.109.14,443,443,true,FRA,Europe,Frankfurt,251,2.64
34.154.80.143,443,443,true,FRA,Europe,Frankfurt,262,2.62
34.116.238.23,443,443,true,FRA,Europe,Frankfurt,306,2.59
34.154.25.190,443,443,true,FRA,Europe,Frankfurt,288,2.50
34.154.223.58,443,443,true,FRA,Europe,Frankfurt,257,2.50
34.154.251.71,443,443,true,FRA,Europe,Frankfurt,194,2.49
34.107.25.251,443,443,true,FRA,Europe,Frankfurt,325,2.49
34.116.153.230,443,443,true,FRA,Europe,Frankfurt,325,2.47
35.200.238.235,443,443,true,BOM,Asia Pacific,Mumbai,103,2.45
34.118.126.46,443,443,true,FRA,Europe,Frankfurt,322,2.43
34.116.249.117,443,443,true,FRA,Europe,Frankfurt,253,2.39
34.118.14.66,443,443,true,FRA,Europe,Frankfurt,265,2.38
34.154.120.240,443,443,true,FRA,Europe,Frankfurt,264,2.37
34.154.215.170,443,443,true,FRA,Europe,Frankfurt,261,2.37
34.147.46.136,443,443,true,FRA,Europe,Frankfurt,246,2.37
34.159.18.179,443,443,true,FRA,Europe,Frankfurt,367,2.34
34.154.11.107,443,443,true,FRA,Europe,Frankfurt,261,2.34
34.154.12.224,443,443,true,FRA,Europe,Frankfurt,262,2.25
34.116.252.167,443,443,true,FRA,Europe,Frankfurt,346,2.24
34.118.91.197,443,443,true,FRA,Europe,Frankfurt,377,2.23
34.154.158.242,443,443,true,FRA,Europe,Frankfurt,185,2.20
34.154.174.36,443,443,true,FRA,Europe,Frankfurt,251,2.19
34.154.6.13,443,443,true,FRA,Europe,Frankfurt,263,2.18
